review,sentiment
"I'm certainly glad that a film was made about Carl Brashear's amazing life story. Coming as it did during the Civil Rights era, Brashear became an inspiration for people of all minority groups not willing to settle for a status expected.<br /><br />Brashear as played by Cuba Gooding, Jr. leads by example in the conduct of the life he has chosen. Very similar to Jackie Robinson who integrated baseball and made it stick by his character and conduct. As Brashear, Gooding knows that he does not want the sharecropper life that his father Carl Lumbly has and Lumbly makes it real clear to get more out of life than he's gotten.<br /><br />But while Harry Truman integrated the Armed Services after World War II, the Navy still has its restrictions. A black man can only be a cook or an officer's valet, the real fighting parts are denied him. That's not good enough for Gooding who applies to become a Navy deep sea diver.<br /><br />Once at the diving school at Bayonne, New Jersey, Gooding gets it all thrown at him, mostly by the Master Chief Petty Officer in charge, Robert DeNiro. DeNiro may have some leftover prejudices, but he's nevertheless a hero and one who can inspire if one can get passed racial divide.<br /><br />The best thing about Men Of Honor is the chemistry between DeNiro and Gooding. They certainly come from different places, but as they get to know each other, both turn out to be Men Of Honor.<br /><br />Other good performances to note are Charlize Theron as DeNiro's wife and Hal Holbrook as the head of the diving school, a guy the Navy just wish would retire for reasons you'll see.<br /><br />Men Of Honor is an inspiring story about people with courage to spare and the ability to change.",positive
"USA The Movie is like this: You take a nap on a long hot Sunday afternoon. It feels great to close your eyes and let your worries drift away. Soon you're lost in one of those intense lucid dreams where you know you're dreaming but you still can't wake up--not that you want to. You go with the flow, and soon you're in a kind of weird Alice in Wonderland story complete with characters you didn't think you could dream up. They're telling you all kinds of crazy stuff about war and peace while taking you through a trip into the past and even the future. <br /><br />The dream starts to get heavier and you feel like it's going down a path you can't control. Maybe you want to wake up so you try to open your eyes but you can''t . Now there's destruction and sadness and confusion and scary voices telling you what could be truth or could be lies. You're seeing images that flicker and change and then get clear, but do you even want to see what you're brain is creating for you? <br /><br />Finally you're lost in a myth world and you realize the end has come. The end of the world and the end of the dream. It's over. What do you wake up to? What do you do next? <br /><br />Maybe you'll write down that dream because you know dreams like don't happen too often-- and when they do you better pay attention. <br /><br />Or maybe you'll crack a beer and forget the whole thing. Bad idea. Don't forget.",positive
"I think you would have to be from the USA to get a lot of the jokes. But if you liked Princess Bride and Forest Gump, You would like this movie. You can't compare the quality of the filming to those of course, but having the cameraman trip was obviously done on purpose. Killer Tomatoes is a hundred times better than Nepolean Dynamite. Just my opinion. I'm sure that people from France would not appreciate the caricatures of the French. So this film isn't for a world audience. And while I am not a trained film critic, I know what I like. I couldn't stop laughing through the whole movie. My sides and my jaws were hurting at the end of the movie.",positive
"Awesome Movie! Great combination of talents! I'm a HUGE fan of David Duchovny and he is outstanding in this movie! I would love to see him in more movies of this nature. His talents are definitely under-used and has SO much more to offer besides ""Agent Mulder"" (although I'm a huge fan of that series too), Anyway, I want to see more of him. He is easily the Cary Grant of our generation. If you haven't seen this movie, you MUST! Great love story that shows love never dies... it's with you forever. Minnie Driver is great and how can you go wrong with a cast containing Mr. O'Connor and Mr. Loggia and Mr. Belushi? This movie didn't get any type of awards nod, but deserved one. Great job Bonnie Hunt! ** By the way... the soundtrack is great too! **",positive
"As I sat watching this episode I kept glancing at the clock waiting for something to happen. As the hour wound down I thought they were really going to give us a big pop at the end, and then - nothing. The whole family is huddled around the Christmas tree like something from the Hallmark Channel then, fade to black.<br /><br />Perhaps one of the poorest season finales I've ever seen. Nothing at all to drum up any excitement for next season. The only thing thrown out as any sort of incentive to watch the next season was the ambiguous nugget offered up by Agent Harris while pawing a sub sandwich that the guys in New York were looking to get one of the guys in New Jersey. Wow, really? I would never expect something like that from mobsters, I'm on the edge of my seat.<br /><br />It almost seems like they're trying to get everyone to lose interest. They start more plot lines that end up just disappearing than any show I've ever seen. They tease and hint but rarely deliver any more.<br /><br />What's with the Arabs that hang out at the Bing? They keep throwing them in front of us and magically, nothing happens.<br /><br />Paulie knee caps some kid after Tony promised his mother that nothing would happen to her son and, poof, gone in the wind.<br /><br />And how many more meandering drug montages with Christopher are we going to have to endure? Please, have him get arrested or overdose or something interesting.<br /><br />This was one of the few shows that I used to looked forward to watching but now, forgetta-bout it.",negative
"OK. Who brought the cheese. I love it. During it's run it became a phenomenon. The Anorexic Twins became popular.Bob Saget started making a paycheck (Instead of his REALLY funny stand-up). And people knew who Dave Coulier was. This is when life was good and simple. This is one of the great American classics. It was humorous and always brought home a good lesson. And this is where I differ from the norm: I liked the last few seasons. Like Home Improvement, when children get older there are a lot more you can do with the script. This is why I dare say...It could have gone much later than it did. But anyway. I gave it an 8/10 because of its wholesome, funny story lines, and because of Bob Saget!",positive
"What could've been a great film about the late poker pro (pre-poker craze) Stu ""The Kid"" Unger turned into a disappointment.<br /><br />You can tell the filmmakers were working on a short-string budget. Everything look filmed on the cheap. Timelines seemed a bit off to me.<br /><br />Casting Michael Imperoli from the Sopranos was also a bad casting choice. He looked too old to play the baby-faced Stu, he looked way too healthy for a coke addict (if you look at footage from the 1997 WSOP main event, the real Stu was so skinny and he practically had no nose from too much cocaine so he wore those sunglasses to hide them), and I kept expecting Adriana to pop up and yell ""Chris-tu-phur!!!"" <br /><br />Also they skipped over the fact that he had a son from Angie's previous relationship that committed suicide in the late '80s.<br /><br />Every time I saw Vincent Van Patten appear, I kept thinking he was going to announce ""Show tunes going off in Stu's head."" like he does on the WPT.<br /><br />If you're looking for real Stuey footage, check ESPN Classic because they rerun the 1997 WSOP Main Event every so often. Or try YouTube. Avoid this move like a bad beat.",negative
"A swedish splatter movie? Has the world gone insane?<br /><br />Probably not, but it's still not a common sight in these days with swedish gore-flicks, the b-movie business in Sweden seems to have troubles these days, long gone are the golden days of ""Rymdinvasion i lappland"". And this movie seems to have some troubles on its own: it's just too much talk in it, it still manages to be somewhat amusing mainly for the good FX, which are great for a b-movie. The script and most of the acting is still pretty bad though, but that actually don't matter that much, it's supposed to be a gore flick and nothing more, that's where it goes a bit wrong for some reason. There's is simply not enough blood to fill the void. <br /><br />Every person who know about Gert Fylking will have a good laugh over his role as a sgt. though. I nearly laughed my ass off. It's really that hilariously bad. <br /><br />Besides the good parts I've listed there's really nothing else to recommend here unless you're starved for swedish B-movies.<br /><br />4/10",negative
"This movie is really nothing besides an admittedly well-crafted series of tense sequences punctuated with an inevitable ""gotcha!"" at the end of each. Really, there is no character development and no real plot to speak of. There are only the most skeletal of motivations for the characters to do anything while they trudge forward to their unavoidable dooms. It's all just an excuse to show a creepy ghost kid (who seems to have gotten some of the family cat mixed up in his ectoplasm) and his ghost mom (with long black hair hanging in her face kind of like ""The Ring"") take down a bunch of cardboard cut-out, two-dimensional excuses for human characters.<br /><br />This English-language version of ""The Grudge"" is the equivalent of cinematic junk food; satisfying momentarily, but not really what you ought to be living on.<br /><br />Not recommended.",negative
"""Ripe"" is one of those awful indies which manages to get into circulation and give indies a bad name. Telling a stupidly incongruous tale of pubescent twin sisters who crawl from a firey car crash which kills their parents and then hit the road while happily shoplifting, making goo-goo eyes at some guy, and ending up on an Army post so dilapidated no Army would want it (yeah, right!). An apparent attempt at a coming of age flick, ""Ripe"" is an almost complete loser which wanders aimlessly as the players drift in and out of character finally ending clumsily with nary a shred of credibility to be found anywhere. Not recommended for anyone.",negative
"Duchess is a pretty white cat who lives with her three kittens in her wealthy owner's mansion in Paris. When the evil butler hears that the rich old lady is leaving everything in her will to the cats first, the butler is angered, because he wants to get everything first. So he puts them to sleep and abandons them off the side of the road. When the cats wake up, they start on a long trek home. A street wise cat named Thomas O'Malley meets up with them and offers to help them. When Edgar sees them arriving home, he is furious, and starts to mail them to Timbucktu. But Thomas' friends arrive to help save the day. The wealthy lady decides to leave her home for every alley cat in Paris.<br /><br />This is a charming film. The songs, including ""Everybody Wants to be a Cat"", are lively and upbeat. The voice cast is excellent, with Eva Gabor(who would later play Miss Bianca in Disney's THE RESCUERS films) as Duchess, Phil Harris(Baloo in THE JUNGLE BOOK, Little John in ROBIN HOOD) as Thomas, giving interesting personalities to their characters. Supposedly Walt Disney, before he died in 1966, gave the go-ahead to this film. Recommended for Disney fans or cat lovers everywhere! 10/10.",positive
"I've already seen spin-offs of cartoons such as The Flintstones, Scooby Doo, Tom and Jerry and Looney Tunes and most of them are great.<br /><br />When I saw the All Grown Up pilot in 2001, I thought it was interesting to see how the Rugrats would look in their pre-teens/teens and it contained things that would usually happen during that time of life such as going to a concert, going to school and being grounded.<br /><br />The actual TV show is better because the Rugrats seem to wear different clothes in each episode and Angelica doesn't get punished as much as she did in the original Rugrats series. Tommy and Susie get punished in this series.<br /><br />I've also noticed references to Rugrats in this show and even flashbacks of how the Rugrats looked in the original series. They actually talk to the adults in this show because they're 10 years older.<br /><br />This show is aimed at a slightly older audience than the original Rugrats. Viewers of the original show may like this.",positive
"I haven't read the book of this and based on this adaptation, will not bother. I hated every character in this show - Miranda was slutty, selfish and mumbled miserably through the appalling dialogue, her sister was a total wimp, and this was the worst depiction of manic-depression I have ever seen. I have a degree in Psychology, and this was not accurate. In fact, until it was mentioned, I did not realise Troy was supposed to be bipolar - I thought he was a normal, slightly grumpy teenager.<br /><br />The only saving grace in this stupid show was David Tennant, whose brilliantly psychotic performance was the only thing that got me to watch the second half. <br /><br />Clearly the writers and producers of this show have not done any research - Troy's mental problems are not remotely accurate, nor are the forensics involved in the ""twist"" ending (and if you did not spot that a mile off, you are a big ole dummy!) <br /><br />Utter garbage.",negative
"This film is worthwhile despite what you may hear. The performance of Marie Dressler (I hope I am spelling it right) as a drunken old sot is reason enough to see this film. It is an amazing performance. She is in a drunken stupor in three scenes for a good long while and she never does the same thing twice. You can actually smell the alcohol when she is done. Amazing. And Greta of course speaks her first lines on film and shes great. The Eugene O'Neill story is solid and like most O'Neill stories, very deep and intense. This is not light entertainment but if you appreciate those great character actors from the 30's and 40's you will like it. Some of the film is technically fuzzy but all in all worthwhile.",positive
"Yowsa! If you REALLY want some ACTION, check out the babes and bombs on this non-stop thriller! Veteran star MARTIN SHEEN leads a trio of supermodels on a mission to stop nuclear terrorism... but director Dean Hamilton doesn't let this heavy plotline get in the way of massive doses of TEENSY-SWIMSUIT scenes, jiggly beach jogs, hubba-hubba hot tubs and the like! Want action? You'll get more of it here than in PEARL HARBOR. Want babes? You'll get an eyeful every two minutes. Want more? Go out and BUY THIS VIDEO! Yowsa, Yowsa, Yowsa! That's some mighty spicy meatballs!!!",positive
"If you decide to watch Wild Rebels, don't expect anything deep and meaningful. If you're looking for a film that explores the relationships and structure of a motorcycle gang, Wild Rebels is the wrong movie. If you're looking for an expose on the breakdown of the American educational system and the problem of juvenile delinquency, Wild Rebels is the wrong movie. If you're looking for a movie that examines how undermanned rural police departments are when facing a well-financed, well-organized gang, Wild Rebels is the wrong movie. But if you're looking for an absurd movie filled with scene after scene of unintentional humor, horrendous acting, a paper-thin plot, and community theater style production values, Wild Rebels is the right movie.<br /><br />Wild Rebels is the story of a down-on-his-luck stock-car driver named Rod Tillman (Steve Alaimo). After a fiery crash (which Rod walks away from completely unscathed despite having only a cotton pants and a London Fog style jacket for protection), Rod decides to give it up. With no plan for his future other than to wander aimless through the back-roads of the South, he stumbles on the Satan's Angels motorcycle gang (a gang being three of the stupidest guys to ever zip up a leather jacket and a woman they seem to share). This group of hoodlums spends their time terrorizing a rural town in Florida by committing such atrocities as stealing a newspaper from a neighbor's mailbox. These bumbling idiots need someone to act as their driver during some larger crimes they have planned. Apparently, these three Einsteins can only drive vehicles with two tires, not four. So they recruit Rod to perform feats of daring that only an experienced stunt driver would be capable of like keeping the car in the middle of a gravel road during a low-speed chase. Eventually, they hold-up a bank, get into the aforementioned low-speed chase, and have the lamest gun battle with the police ever put on film. I could go on forever, but you get the idea.<br /><br />I hate the term ""so bad it's good"", but that seems to aptly describe Wild Rebels.",negative
"Oliver Stone is not one to shy away from a movie or theme for that matter. He is eager to confront people with their fears or show them their ugly faces in the mirror. Look on his CV for proof! This movie is not an exception, quite on the contrary, it is another gem, that unfortunately not many have seen.<br /><br />As controversial movies go, this is one that you should be thankful for. A movie that should encourage you to think about you, the people next to you. The prejudices that do exist and that everyone of us has in one form or another. Either we like to admit it or not, but it is easier to categorize people and be like ""Ah he's 'xyz', yeah he must be like ..."". Now I might be reading too much into it, but I don't believe that. I believe that Oliver Stone is a very intelligent filmmaker and that he was aiming for those things. And if that's something you want to explore (as a movie or within yourself), than watch this film and be excited!",positive
"Before I talk about the ending of this film I will talk about the plot. Some dude named Gerald breaks his engagement to Kitty and runs off to Craven Castle in Scotland. After several months Kitty and her aunt venture off to Scottland. Arriving at Craven Castle Kitty finds that Gerald has aged and he has grown meaner. Gerald has certain rules for the castle(the rules have been the same for 200 years). Gerald does not want them to stay but, Kitty insist on staying by making excuses. One night her aunt catches a glimpse of the monster running across the hall. It scares her so much that she faints and (another excuse) they must stay longer. Kitty becomes more worried about Gerald after she tries to go in the maze but Gerald catches her and is even meaner to her. Kitty then sends for reinforcements, she calls their doctor who is actually their friend and his wide. Then to make things not look suspicious they invite a couple other friends(who don't really do anything). Blah,blah, blah Kitty and her aunt end up in the maze where the most suspense of the story is. They somehow get separated and they try to find each other. But the aunt stumbles upon the creature...here it is the moment we've all been waiting for, what is the creature lurking in the shadows?...it is a giant FROG!!! OMG what is better than that! After seeing the aunt the frog literally goes crazy and runs, oops I mean hops up the stairs to the top of the castle. The frog then leaps out an open window. We then go on a shot from the ground and see the frog gall towards us (oh yeah this movie was in 3-D). But you want to know what is funny is the frog that falls out the window is actually a toy because it is 1/10 the size of the frog before it takes the leap. It is then revealed that this was all evolutions fault, blah, blah and Kitty and Gerald get married. Then the last shot of this masterpiece is of the grave of the frog in the maze, the only place where he was ever really happy ;).",positive
"I was particularly moved by the understated courage and integrity of l'Anglaise, in this beautifully acted, intellectually and visually compelling film. Thank you so much, Monsieur le directeur Rohmer.",positive
"I'm sure that any legitimate submariner would happily ship out on the USOS Seaview (yes, SOS...) Why, you could play full-court basketball in the torpedo room, it's so large. And how 'bout the bay windows in the bow, the better to see giant squids or minefields that appear out of nowhere? Did I mention the colorful mess-cook with the parrot on his shoulder? And the Admiral's stateroom with what appears to be a loft? Big bleeping sub...<br /><br />OK, OK...it's never gonna win any prizes for authenticity. And if the sub is laughable, the plot is even worse. Somehow the Van Allen belts of radiation, hundreds of miles in space, have ""caught fire"" are going to make global warming look like a weenie roast. Pompous Admiral Nelson (Walter Pidgeon), along with his sidekick Lucius (Peter Lorre, looking suitably uncomfortable) hatch a scheme to put out the fire by firing a missile into its midst.<br /><br />There's plenty of intrigue (sic) along the way, with a born-again survivor (and his little dog, too!) two ""dames"" who can never leave well enough alone, a passel of ""red shirts"" who are expendable, and plot holes big enough for Godzilla to walk through. Thrill to the Seaview being chased at what looks like 60 miles per hour by another sub -- no need for advanced sonar when you can follow from 100 feet astern.<br /><br />The movie careens from one cliff-hanger to another; the payoff is so anticlimactic as to be pointless, certainly not worth the 1 hour and 50 minute wait.<br /><br />The technical adviser for this shipwreck must have been a 14-year old boy with a stack of Popular Mechanics magazines. Worth watching, if only to riff upon.",negative
"I`ve seen this movie twice, both times on Cinemax. The first time in it`s unrated version which is soft-core porn at it`s best and the second time in a trimmed down (cut all the sex and most of the nudity out) version which was entertaining in a typical beach movie sort of way. The unrated version has a tremendous sex scene with Nikki Fritz, a dude and a bottle of oil which is out of this world (no pun intended). Unfortunately, in the trimmed version that scene is almost completely chopped out, as are all the other sex scenes. Rated or unrated it is still fun to watch all the siblings of bigger stars (Stallone, Sheen, Travolta, etc;) trying to act. We also get appearances by B-queen Linnea Quigley and Burt Ward (Robin from the old Batman series).",positive
"OK, Chuck Norris has shown up in many an entertaining movie over the years. This is not one of them. I won't even bother trying to get into the plot about a Bible shipment gone wrong. The ""acting"" of the main characters is so wood like, Pinocchio would have done a better job! The synthesizer based soundtrack is even worse than the one in Deathstalker. Whereas traditionally low budget spooky movies are often trying to catch their audience by adding plenty of graphic violence, this one is trying to catch an audience by throwing religious mambo jumbo at the spectator. The plot boils down to different versions of the Bible.",negative
"Wimpy stuffed shirt Armand Louque (blandly played by veteran character actor Dean Jagger in a rare lead role) joins a group of researchers who want to find and destroy the secret technique of creating zombies. Armand falls for the lovely Claire Duval (fetching blonde Dorothy Stone), who uses the meek sap to get Armand's colleague Clifford Grayson (the hopelessly wooden Robert Noland) to marry her. Furious over being used and spurned by Claire, Armand uses his knowledge of voodoo to get revenge. Sound exciting? Well, it sure ain't. For starters, Victor Halperin's static (non)direction lets the meandering and uneventful talk-ridden story plod along at an excruciatingly slow pace. Worse yet, Halperin crucially fails to bring any tension, atmosphere and momentum to the hideously tedious proceedings. The mostly blah acting from a largely insipid cast doesn't help matters any; only George Cleveland as the hearty General Duval and E. Alyn Warren as the irascible Dr. Trevissant manage to enliven things a bit with their welcome and refreshing hammy histrionics. The drippy stock film library score, the painfully obvious stagebound sets, and the crude cinematography are pretty lousy and unimpressive as well. In fact, this feeble excuse for a fright feature is so crummy that not even the uncredited starkly staring eyes of the great Bela Lugosi can alleviate the brain-numbing boredom. A dismally dull dud.",negative
"Lovingly crafted and terribly interesting to watch Garfield's gritty, breakthrough performance (introducing a new kind of rebellious acting style that would carry over to the Brandos and Clifts and so on after the war) but all that sisterly affection is a bit suffocating. Priscilla Lane is a bright, engaging performer but the other sisters don't really register (though they're all allowed to be tart and witty) and I just had a hard time buying any of the other male characters besides Garfield. Jeffrey Lynn is a pleasant enough actor, but he lacks the movie star weight to match up with Garfield's hard luck Mickey Borden and that throws the film a bit out of whack. (Imagine a Jimmy Stewart or someone in the part.) Also, I was not convinced that Garfield would make the pivotal (to say the least) final decision that he made. The film needed another half hour of running time to better explain that action; it feels awfully rushed and under-motivated.<br /><br />Still, it's not hard to understand how anybody who grew up with this picture would remember it fondly. It falls short of being a classic, but it does contain a few classic moments. The two gate swinging scenes are pure movie magic.",positive
"Why oh why don't blockbuster movies simply stick to their selling point? Everyone in the cinema, young and old, was there to see talking animals make jokes, and whilst they did that we were all happy... And then, as with Lost In Space, came the two killer blows - plot and sentiment. Who really cared what happened to the tiger or whether Eddie Murphy made up with his daughter? Not me, that's for sure.",negative
